,model,brand,setting,label,rear_travel,fork_travel,f_rotor_dim,r_rotor_dim,head_angle,seat_angle,stem_length,handlbar_width,reach,stack,wheelbase,chainstay_length,bb_height,standover_height
0,epic,specialized,na,xc,100.0,100.0,170.0,160.0,67.5,75.5,70.0,760.0,445.0,591.0,1148.0,433.0,324.0,766.0
8,supercaliber,trek,na,xc,60.0,100.0,160.0,160.0,69.0,74.0,70.0,720.0,440.0,594.0,1121.0,430.0,320.0,760.0
15,spark rc,scott,,xc,100.0,110.0,180.0,160.0,68.5,73.8,80.0,740.0,456.8,596.2,1158.6,435.0,319.5,756.0
20,anthem advanced pro,giant,,xc,90.0,100.0,180.0,160.0,69.0,73.5,80.0,780.0,454.0,594.0,1154.0,438.0,324.5,817.0
24,blur,santa cruz,,xc,100.0,100.0,160.0,160.0,69.0,74.0,76.0,750.0,460.0,598.0,1160.0,432.0,328.0,723.0
31,cannondale,scalpel,,xc,100.0,100.0,160.0,160.0,68.0,74.5,80.0,760.0,435.0,601.0,1175.0,436.0,331.0,745.0
39,niner,rkt 9 rdo rs, ,xc,90.0,100.0,180.0,160.0,71.0,74.5,76.0,780.0,424.0,600.0,1103.0,439.0,324.5,728.0
1,epic evo,specialized,high,dc,110.0,120.0,180.0,160.0,67.0,74.5,60.0,760.0,436.0,597.0,1164.0,438.0,339.0,781.0
2,epic evo,specialized,low,dc,110.0,120.0,180.0,160.0,66.5,74.5,60.0,760.0,436.0,597.0,1164.0,438.0,336.0,781.0
11,top fuel 9.9 xx1 axs,trek,high,dc,115.0,120.0,180.0,160.0,68.0,75.5,60.0,750.0,461.0,590.0,1168.0,434.0,343.0,741.0
12,top fuel 9.9 xx1 axs,trek,low,dc,115.0,120.0,180.0,160.0,67.5,75.0,60.0,750.0,456.0,594.0,1168.0,435.0,337.0,735.0
28,sb115,yeti,,dc,115.0,130.0,180.0,160.0,67.6,74.1,50.0,780.0,430.6,613.1,1154.5,436.7,339.4,731.1
32,cannondale,scalpel se,,dc,120.0,120.0,160.0,160.0,67.0,74.0,58.0,780.0,450.0,611.0,1172.0,436.0,344.0,758.0
38,niner,rkt 9 rdo,,dc,90.0,120.0,180.0,160.0,70.0,73.5,58.0,780.0,413.0,617.0,1111.0,439.0,339.73333333333335,739.0
3,stumpjumper,specialized,high,tr,130.0,140.0,200.0,180.0,65.5,76.5,50.0,780.0,480.0,627.0,1228.0,432.0,340.0,749.0
4,stumpjumper,specialized,low,tr,130.0,140.0,200.0,180.0,65.0,76.0,50.0,780.0,475.0,632.0,1228.0,432.0,333.0,749.0
5,stumpjumper evo,specialized,na,tr,150.0,160.0,200.0,200.0,63.0,76.9,50.0,800.0,475.0,635.0,1247.0,438.0,340.0,762.0
13,fuel ex 9.9,trek,high,tr,130.0,140.0,200.0,180.0,66.5,75.5,45.0,780.0,460.0,609.0,1195.0,436.0,346.0,752.0
14,fuel ex 9.9,trek,low,tr,130.0,140.0,200.0,180.0,66.0,75.0,45.0,780.0,455.0,613.0,1196.0,437.0,340.0,746.0
16,spark ,scott,,tr,120.0,130.0,180.0,180.0,67.2,73.8,70.0,760.0,460.0,602.4,1182.8,438.0,327.0,778.0
17,genius,scott,high,tr,150.0,150.0,203.0,180.0,65.6,75.3,50.0,780.0,472.0,609.2,1230.8,436.0,340.0,749.5
18,genius,scott,low,tr,150.0,150.0,203.0,180.0,65.0,74.8,50.0,780.0,466.1,613.7,1232.1,438.0,345.9,758.4
21,trance advanced X pro,giant,high,tr,135.0,150.0,203.0,180.0,66.2,77.9,50.0,800.0,494.0,624.0,1238.0,435.0,338.96666666666664,761.0
22,trance advanced X pro,giant,low,tr,135.0,150.0,203.0,180.0,65.5,77.2,50.0,800.0,486.0,631.0,1239.0,438.0,338.96666666666664,752.0
25,tallboy,santa cruz,,tr,120.0,130.0,180.0,180.0,65.7,76.4,50.0,800.0,470.0,619.0,1211.0,430.0,335.0,706.0
26,hightower,santa cruz,,tr,145.0,150.0,180.0,180.0,65.5,76.8,50.0,780.0,473.0,619.0,1231.0,433.0,344.0,717.0
29,sb130,yeti,,tr,130.0,150.0,200.0,180.0,65.5,77.0,50.0,800.0,460.2,614.8,1205.6,433.0,337.7,725.9
33,cannondale,habit,,tr,130.0,140.0,180.0,180.0,66.0,74.5,49.333333333333336,780.0,460.0,625.0,1210.0,435.0,339.0,770.0
34,niner,rip 0 rdo,high,tr,140.0,150.0,180.0,180.0,66.0,75.8,49.333333333333336,800.0,440.0,615.0,1181.0,435.0,338.96666666666664,712.0
35,niner,rip 0 rdo,low,tr,140.0,150.0,180.0,180.0,65.0,75.2,49.333333333333336,800.0,433.0,619.0,1182.0,435.0,338.96666666666664,705.0
36,niner,jet 9 rdo,high,tr,120.0,130.0,180.0,180.0,66.5,76.0,40.0,800.0,450.0,613.0,1179.0,430.0,338.96666666666664,698.0
37,niner,jet 9 rdo,low,tr,120.0,130.0,180.0,180.0,66.0,75.5,40.0,800.0,444.0,617.0,1180.0,432.0,338.96666666666664,705.0
6,enduro,specialized,high,en,170.0,170.0,220.0,200.0,64.3,76.0,50.0,800.0,473.5285714285714,625.0571428571428,1274.0,442.0,347.9666666666667,745.7833333333333
7,enduro,specialized,low,en,170.0,170.0,220.0,200.0,63.9,76.0,50.0,800.0,487.0,629.0,1274.0,442.0,347.0,745.7833333333333
9,slash,trek,high,en,160.0,170.0,203.0,203.0,64.6,76.1,50.0,820.0,474.0,622.0,1242.0,435.0,352.0,749.0
